,schemeCode,schemeName
253,100349,ICICI Prudential Large & Mid Cap Fund - Growth
254,100350,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth
255,100351,ICICI Prudential FMCG Fund - Dividend
256,100351,ICICI Prudential FMCG Fund - IDCW
257,100352,ICICI Prudential FMCG Fund - Growth
258,100353,ICICI Prudential Long Term Equity Fund (Tax Saving)- Dividend
259,100353,ICICI Prudential ELSS Tax Saver Fund - IDCW
260,100353,ICICI Prudential Long Term Equity Fund (Tax Saving)- IDCW
261,100354,ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth
262,100354,ICICI Prudential ELSS Tax Saver Fund - Growth
263,100355,ICICI Prudential Equity & Debt Fund - Monthly Dividend
264,100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW
265,100356,ICICI Prudential Equity & Debt Fund - Growth
266,100357,ICICI Prudential Liquid Fund -Quarterly Dividend
267,100357,ICICI Prudential Liquid Fund -Quarterly IDCW
268,100358,ICICI Prudential Liquid Fund-Dividend-Institutional Quarterly
269,100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily
270,100360,ICICI Prudential Liquid Institutional Plus Fund - Div - Weekly
271,100361,ICICI Prudential Liquid Fund-Dividend-Institutional Plus - Monthly
272,100362,ICICI Prudential Liquid Institutional Plus Fund - Growth
273,100363,ICICI Prudential Technology Fund - Growth
274,100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW
275,100364,ICICI Prudential Long Term Bond Fund - Half Yearly Dividend
276,100365,ICICI Prudential Long Term Bond Fund - Growth
277,100366,ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend
278,100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW
279,100367,ICICI Prudential Long Term Bond Fund - Quarterly Dividend
280,100368,ICICI Prudential Gilt Fund - IDCW
281,100368,ICICI Prudential Gilt Fund - Dividend
282,100369,ICICI Prudential Gilt Fund - Growth
283,100370,ICICI Prudential Short Term Gilt Fund - Dividend
284,100371,ICICI Prudential Short Term Gilt Fund - Growth
285,100372,ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend
286,100375,NIPPON INDIA GROWTH FUND - IDCW Option
287,100375,Reliance Growth Fund-Dividend Plan-(D)
288,100375,Nippon India Growth Fund-Dividend Plan-(D)
289,100376,Nippon India Growth Fund-Growth Plan-Bonus Option
290,100376,Reliance Growth Fund-Growth Plan-Bonus Option
291,100377,Reliance Growth Fund-Growth Plan-Growth Option
292,100377,Nippon India Growth Fund-Growth Plan-Growth Option
293,100378,Reliance Vision Fund-DIVIDEND PLAN-D
294,100378,NIPPON INDIA VISION FUND - IDCW Option
295,100378,Nippon India Vision Fund-DIVIDEND PLAN-D
296,100379,Reliance Vision Fund-GROWTH PLAN-Bonus Option
297,100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option
298,100380,Reliance Vision Fund-GROWTH PLAN-Growth Option
299,100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option
300,100381,UTI Large Cap Fund-Income Option
301,100382,UTI Large Cap Fund-Growth Option
302,100383,NIPPON INDIA INCOME FUND - MONTHLY IDCW Option
303,100383,Reliance Income Fund - Monthly Dividend Plan
304,100383,Nippon India Income Fund - Monthly Dividend Plan
305,100384,Reliance Income Fund - Quarterly Dividend Plan
306,100384,Nippon India Income Fund - Quarterly Dividend Plan
307,100384,NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option
308,100385,Reliance Income Fund - Half Yearly Dividend Plan
309,100385,NIPPON INDIA INCOME FUND - HALF YEARLY IDCW Option
310,100385,Nippon India Income Fund - Half Yearly Dividend Plan
311,100386,Reliance Income Fund - Annual Dividend Plan
312,100386,NIPPON INDIA INCOME FUND - ANNUAL IDCW Option
313,100386,Nippon India Income Fund - Annual Dividend Plan
314,100387,Nippon India Income Fund - Growth Plan Growth Option
315,100387,Reliance Income Fund - Growth Plan Growth Option
316,100388,Reliance Income Fund - Growth Plan Bonus Option
317,100388,Nippon India Income Fund - Growth Plan Bonus Option
318,100414,Tata Hybrid Equity Fund Regular Plan - Growth
